__metal_builtin,used_via,n_call_sites,air_intrinsic_candidate,evidence,status,stdlib_sample
__metal_get_candidate_ray_direction_intersection_query,method,1,air.get.candidate.ray.direction.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4503: return __metal_get_candidate_ray_direction_intersection_query(
__metal_get_candidate_ray_origin_intersection_query,method,1,air.get.candidate.ray.origin.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4497: return __metal_get_candidate_ray_origin_intersection_query(
__metal_get_candidate_triangle_barycentric_coord_intersection_query,method,1,air.get.candidate.triangle.barycentric.coord.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4295: return __metal_get_candidate_triangle_barycentric_coord_intersection_query(
__metal_get_candidate_triangle_distance_intersection_query,method,1,air.get.candidate.triangle.distance.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4457: return __metal_get_candidate_triangle_distance_intersection_query(
__metal_get_candidate_user_instance_id_intersection_query,method,2,air.get.candidate.user.instance.id.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4123: return __metal_get_candidate_user_instance_id_intersection_query(
__metal_get_candidate_world_to_object_transform_intersection_query,method,2,air.get.candidate.world.to.object.transform.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4141: __metal_get_candidate_world_to_object_transform_intersection_query(
__metal_get_committed_curve_parameter_intersection_query,method,1,air.get.committed.curve.parameter.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4342: return __metal_get_committed_curve_parameter_intersection_query(
__metal_get_committed_distance_intersection_query,method,1,air.get.committed.distance.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4516: return __metal_get_committed_distance_intersection_query(
__metal_get_committed_geometry_id_intersection_query,method,1,air.get.committed.geometry.id.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4522: return __metal_get_committed_geometry_id_intersection_query(
__metal_get_committed_instance_count_intersection_query,method,1,air.get.committed.instance.count.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4242: return __metal_get_committed_instance_count_intersection_query(
__metal_get_committed_instance_id_intersection_query,method,2,air.get.committed.instance.id.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4150: return __metal_get_committed_instance_id_intersection_query(
__metal_get_committed_intersection_type_intersection_query,method,1,air.get.committed.intersection.type.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4510: __metal_get_committed_intersection_type_intersection_query(
__metal_get_committed_object_to_world_transform_intersection_query,method,2,air.get.committed.object.to.world.transform.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4165: __metal_get_committed_object_to_world_transform_intersection_query(
__metal_get_committed_primitive_data_intersection_query,method,1,air.get.committed.primitive.data.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4535: return __metal_get_committed_primitive_data_intersection_query(
__metal_get_committed_primitive_id_intersection_query,method,1,air.get.committed.primitive.id.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4528: return __metal_get_committed_primitive_id_intersection_query(
__metal_get_committed_ray_direction_intersection_query,method,1,air.get.committed.ray.direction.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4548: return __metal_get_committed_ray_direction_intersection_query(
__metal_get_committed_ray_origin_intersection_query,method,1,air.get.committed.ray.origin.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4542: return __metal_get_committed_ray_origin_intersection_query(
__metal_get_committed_triangle_barycentric_coord_intersection_query,method,1,air.get.committed.triangle.barycentric.coord.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4309: return __metal_get_committed_triangle_barycentric_coord_intersection_query(
__metal_get_committed_user_instance_id_intersection_query,method,2,air.get.committed.user.instance.id.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4157: return __metal_get_committed_user_instance_id_intersection_query(
__metal_get_committed_world_to_object_transform_intersection_query,method,2,air.get.committed.world.to.object.transform.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4175: __metal_get_committed_world_to_object_transform_intersection_query(
__metal_get_control_point,method,1,air.get.control.point,inferred,🧪命名規則からの推測 (probe必須),"metal_tessellation:36: return __metal_get_control_point(pcp, static_cast<uint>(pos), T());"
__metal_get_curve_parameter_intersection_result,method,1,air.get.curve.parameter.intersection.result,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:2330: return __metal_get_curve_parameter_intersection_result(
__metal_get_data_pointer_tensor,method,8,air.get.data.pointer.tensor,inferred,🧪命名規則からの推測 (probe必須),metal_tensor:1250: return (data_handle_type) __metal_get_data_pointer_tensor(
__metal_get_depth_texture_3d_t,method,6,air.get_depth_texture_3d,observed_ir,✅AIR実シグネチャをIR解析で確認,"__bits/metal_texture3d:2127: return __metal_get_depth_texture_3d_t(derived.t, lod);"
__metal_get_distance_intersection_result,method,1,air.get.distance.intersection.result,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:2391: return __metal_get_distance_intersection_result(
__metal_get_extent_tensor,method,4,air.get.extent.tensor,inferred,🧪命名規則からの推測 (probe必須),"metal_tensor:590: return __metal_get_extent_tensor(self->handle(),"
__metal_get_function_pointer_visible_function_table,method,6,air.get.function.pointer.visible.function.table,inferred,🧪命名規則からの推測 (probe必須),metal_visible_function_table:351: return reinterpret_cast<function_pointer_type>(__metal_get_function_pointer_visible_fu
__metal_get_geometry_id_intersection_result,method,1,air.get.geometry.id.intersection.result,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:2397: return __metal_get_geometry_id_intersection_result(
__metal_get_height_depth_2d_array_t,method,6,air.get.height.depth.2d.array.t,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_depth2d_array:1802: return __metal_get_height_depth_2d_array_t(derived.t, lod);"
__metal_get_height_depth_2d_ms_array_t,method,6,air.get.height.depth.2d.ms.array.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depth2d_ms_array:266: return __metal_get_height_depth_2d_ms_array_t(derived.t);
__metal_get_height_depth_2d_ms_t,method,6,air.get.height.depth.2d.ms.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depth2d_ms:265: return __metal_get_height_depth_2d_ms_t(derived.t);
__metal_get_height_depth_2d_t,method,6,air.get.height.depth.2d.t,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_depth2d:1802: return __metal_get_height_depth_2d_t(derived.t, lod);"
__metal_get_height_depth_cube_array_t,method,6,air.get.height.depth.cube.array.t,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_depthcube_array:1791: return __metal_get_height_depth_cube_array_t(derived.t, lod);"
__metal_get_height_depth_cube_t,method,6,air.get.height.depth.cube.t,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_depthcube:1804: return __metal_get_height_depth_cube_t(derived.t, lod);"
__metal_get_height_texture_2d_array_t,method,6,air.get_height_texture_2d_array,observed_ir,✅AIR実シグネチャをIR解析で確認,"__bits/metal_texture2d_array:2226: return __metal_get_height_texture_2d_array_t(derived.t, lod);"
__metal_get_height_texture_2d_ms_array_t,method,6,air.get_height_texture_2d_ms_array,observed_ir,✅AIR実シグネチャをIR解析で確認,__bits/metal_texture2d_ms_array:273: return __metal_get_height_texture_2d_ms_array_t(derived.t);
__metal_get_height_texture_2d_ms_t,method,6,air.get_height_texture_2d_ms,observed_ir,✅AIR実シグネチャをIR解析で確認,__bits/metal_texture2d_ms:272: return __metal_get_height_texture_2d_ms_t(derived.t);
__metal_get_height_texture_2d_t,method,6,air.get_height_texture_2d,observed_ir,✅AIR実シグネチャをIR解析で確認,"__bits/metal_texture2d:2236: return __metal_get_height_texture_2d_t(derived.t, lod);"
__metal_get_height_texture_3d_t,method,6,air.get_height_texture_3d,observed_ir,✅AIR実シグネチャをIR解析で確認,"__bits/metal_texture3d:2122: return __metal_get_height_texture_3d_t(derived.t, lod);"
__metal_get_height_texture_cube_array_t,method,6,air.get_height_texture_cube_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube_array:2245: return __metal_get_height_texture_cube_array_t(derived.t, lod);"
__metal_get_height_texture_cube_t,method,6,air.get_height_texture_cube,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube:2255: return __metal_get_height_texture_cube_t(derived.t, lod);"
__metal_get_imageblock_color_coverage_mask,method,1,air.get.imageblock.color.coverage.mask,inferred,🧪命名規則からの推測 (probe必須),"metal_imageblocks:169: return __metal_get_imageblock_color_coverage_mask(_imgblock, coord, color_index);"
__metal_get_imageblock_height,method,1,air.get.imageblock.height,inferred,🧪命名規則からの推測 (probe必須),metal_imageblocks:154: return __metal_get_imageblock_height(_imgblock);
__metal_get_imageblock_num_colors,method,1,air.get.imageblock.num.colors,inferred,🧪命名規則からの推測 (probe必須),"metal_imageblocks:164: return __metal_get_imageblock_num_colors(_imgblock, coord);"
__metal_get_imageblock_samples,method,1,air.get.imageblock.samples,inferred,🧪命名規則からの推測 (probe必須),metal_imageblocks:159: return __metal_get_imageblock_samples(_imgblock);
__metal_get_imageblock_width,method,1,air.get.imageblock.width,inferred,🧪命名規則からの推測 (probe必須),metal_imageblocks:149: return __metal_get_imageblock_width(_imgblock);
__metal_get_instance_acceleration_structure_instance_acceleration_structure,method,6,air.get.instance.acceleration.structure.instance.acceleration.structure,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:732: return Derived<ResultTags...>(__metal_get_instance_acceleration_structure_instance_acceleration_st
__metal_get_instance_count_instance_acceleration_structure,method,6,air.get.instance.count.instance.acceleration.structure,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:701: return __metal_get_instance_count_instance_acceleration_structure(derived.as);
__metal_get_instance_count_intersection_result,method,1,air.get.instance.count.intersection.result,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:2281: return __metal_get_instance_count_intersection_result(
__metal_get_instance_id_intersection_result,method,2,air.get.instance.id.intersection.result,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:2242: return __metal_get_instance_id_intersection_result(
__metal_get_intersection_params_intersection_query,method,1,air.get.intersection.params.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4410: __metal_get_intersection_params_intersection_query(
__metal_get_null_depth_2d_array_t,method,3,air.get.null.depth.2d.array.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depth2d_array:2221: METAL_FUNC depth2d_array() thread  : t(__metal_get_null_depth_2d_array_t()) {}
__metal_get_null_depth_2d_ms_array_t,method,3,air.get.null.depth.2d.ms.array.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depth2d_ms_array:681: METAL_FUNC depth2d_ms_array() thread : t(__metal_get_null_depth_2d_ms_array_t()) {}
__metal_get_null_depth_2d_ms_t,method,3,air.get.null.depth.2d.ms.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depth2d_ms:650: METAL_FUNC depth2d_ms() thread : t(__metal_get_null_depth_2d_ms_t()) {}
__metal_get_null_depth_2d_t,method,3,air.get.null.depth.2d.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depth2d:2191: METAL_FUNC depth2d() thread : t(__metal_get_null_depth_2d_t()) {}
__metal_get_null_depth_cube_array_t,method,3,air.get.null.depth.cube.array.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depthcube_array:2210: METAL_FUNC depthcube_array() thread : t(__metal_get_null_depth_cube_array_t()) {}
__metal_get_null_depth_cube_t,method,3,air.get.null.depth.cube.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depthcube:2193: METAL_FUNC depthcube() thread : t(__metal_get_null_depth_cube_t()) {}
__metal_get_null_function_handle,method,8,air.get.null.function.handle,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:1372: METAL_FUNC intersection_function_handle() thread : function_handle(__metal_get_null_function_hand
__metal_get_null_instance_acceleration_structure,method,1,air.get.null.instance.acceleration.structure,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:684: return __metal_get_null_instance_acceleration_structure();
__metal_get_null_intersection_function_table,method,19,air.get.null.intersection.function.table,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:1467: METAL_FUNC intersection_function_table() thread : t(__metal_get_null_intersection_function_table(
__metal_get_null_primitive_acceleration_structure,method,1,air.get.null.primitive.acceleration.structure,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:663: return __metal_get_null_primitive_acceleration_structure();
__metal_get_null_tensor,method,1,air.get.null.tensor,inferred,🧪命名規則からの推測 (probe必須),metal_tensor:1458: METAL_FUNC tensor() thread : _t(__metal_get_null_tensor())
__metal_get_null_texture_1d_array_t,method,3,air.get_null_texture_1d_array,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_texture1d_array:1972: METAL_FUNC texture1d_array() thread : t(__metal_get_null_texture_1d_array_t()) {}
__metal_get_null_texture_1d_t,method,3,air.get_null_texture_1d,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_texture1d:1940: METAL_FUNC texture1d() thread : t(__metal_get_null_texture_1d_t()) {}
__metal_get_null_texture_2d_array_t,method,3,air.get_null_texture_2d_array,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_texture2d_array:2661: METAL_FUNC texture2d_array() thread : t(__metal_get_null_texture_2d_array_t()) {}
__metal_get_null_texture_2d_ms_array_t,method,3,air.get_null_texture_2d_ms_array,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_texture2d_ms_array:688: METAL_FUNC texture2d_ms_array() thread : t(__metal_get_null_texture_2d_ms_array_t()
__metal_get_null_texture_2d_ms_t,method,3,air.get_null_texture_2d_ms,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_texture2d_ms:657: METAL_FUNC texture2d_ms() thread : t(__metal_get_null_texture_2d_ms_t()) {}
__metal_get_null_texture_2d_t,method,3,air.get_null_texture_2d,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_texture2d:2641: METAL_FUNC texture2d() thread : t(__metal_get_null_texture_2d_t()) {}
__metal_get_null_texture_3d_t,method,3,air.get_null_texture_3d,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_texture3d:2555: METAL_FUNC texture3d() thread : t(__metal_get_null_texture_3d_t()) {}
__metal_get_null_texture_buffer_1d_t,method,3,air.get_null_texture_buffer_1d,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_texture_buffer:1575: METAL_FUNC texture_buffer() thread : t(__metal_get_null_texture_buffer_1d_t()) {}
__metal_get_null_texture_cube_array_t,method,3,air.get_null_texture_cube_array,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_texturecube_array:2682: METAL_FUNC texturecube_array() thread : t(__metal_get_null_texture_cube_array_t()) 
__metal_get_null_texture_cube_t,method,3,air.get_null_texture_cube,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_texturecube:2662: METAL_FUNC texturecube() thread : t(__metal_get_null_texture_cube_t()) {}
__metal_get_null_visible_function_table,method,3,air.get.null.visible.function.table,inferred,🧪命名規則からの推測 (probe必須),metal_visible_function_table:191: METAL_FUNC visible_function_table() thread : t(__metal_get_null_visible_function_table
__metal_get_num_mip_levels_depth_2d_array_t,method,6,air.get.num.mip.levels.depth.2d.array.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depth2d_array:1812: return __metal_get_num_mip_levels_depth_2d_array_t(derived.t);
__metal_get_num_mip_levels_depth_2d_t,method,6,air.get.num.mip.levels.depth.2d.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depth2d:1807: return __metal_get_num_mip_levels_depth_2d_t(derived.t);
__metal_get_num_mip_levels_depth_cube_array_t,method,6,air.get.num.mip.levels.depth.cube.array.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depthcube_array:1801: return __metal_get_num_mip_levels_depth_cube_array_t(derived.t);
__metal_get_num_mip_levels_depth_cube_t,method,6,air.get.num.mip.levels.depth.cube.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depthcube:1809: return __metal_get_num_mip_levels_depth_cube_t(derived.t);
__metal_get_num_mip_levels_texture_1d_array_t,method,6,air.get_num_mip_levels_texture_1d_array,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_texture1d_array:1574: return __metal_get_num_mip_levels_texture_1d_array_t(derived.t);
__metal_get_num_mip_levels_texture_1d_t,method,6,air.get_num_mip_levels_texture_1d,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_texture1d:1567: return __metal_get_num_mip_levels_texture_1d_t(derived.t);
__metal_get_num_mip_levels_texture_2d_array_t,method,6,air.get_num_mip_levels_texture_2d_array,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_texture2d_array:2236: return __metal_get_num_mip_levels_texture_2d_array_t(derived.t);
__metal_get_num_mip_levels_texture_2d_t,method,6,air.get_num_mip_levels_texture_2d,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_texture2d:2241: return __metal_get_num_mip_levels_texture_2d_t(derived.t);
__metal_get_num_mip_levels_texture_3d_t,method,6,air.get_num_mip_levels_texture_3d,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_texture3d:2132: return __metal_get_num_mip_levels_texture_3d_t(derived.t);
__metal_get_num_mip_levels_texture_cube_array_t,method,6,air.get_num_mip_levels_texture_cube_array,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_texturecube_array:2255: return __metal_get_num_mip_levels_texture_cube_array_t(derived.t);
__metal_get_num_mip_levels_texture_cube_t,method,6,air.get_num_mip_levels_texture_cube,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_texturecube:2260: return __metal_get_num_mip_levels_texture_cube_t(derived.t);
__metal_get_num_patch_control_points,method,1,air.get.num.patch.control.points,inferred,🧪命名規則からの推測 (probe必須),metal_tessellation:31: return __metal_get_num_patch_control_points();
__metal_get_num_samples,method,1,air.get.num.samples,inferred,🧪命名規則からの推測 (probe必須),metal_graphics:172: return __metal_get_num_samples(0);
__metal_get_num_samples_depth_2d_ms_array_t,method,6,air.get.num.samples.depth.2d.ms.array.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depth2d_ms_array:276: return __metal_get_num_samples_depth_2d_ms_array_t(derived.t);
__metal_get_num_samples_depth_2d_ms_t,method,6,air.get.num.samples.depth.2d.ms.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depth2d_ms:270: return __metal_get_num_samples_depth_2d_ms_t(derived.t);
__metal_get_num_samples_texture_2d_ms_array_t,method,6,air.get_num_samples_texture_2d_ms_array,observed_ir,✅AIR実シグネチャをIR解析で確認,__bits/metal_texture2d_ms_array:283: return __metal_get_num_samples_texture_2d_ms_array_t(derived.t);
__metal_get_num_samples_texture_2d_ms_t,method,6,air.get_num_samples_texture_2d_ms,observed_ir,✅AIR実シグネチャをIR解析で確認,__bits/metal_texture2d_ms:277: return __metal_get_num_samples_texture_2d_ms_t(derived.t);
__metal_get_object_to_world_transform_intersection_result,method,1,air.get.object.to.world.transform.intersection.result,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:2362: __metal_get_object_to_world_transform_intersection_result(
__metal_get_primitive_acceleration_structure_instance_acceleration_structure,method,6,air.get.primitive.acceleration.structure.instance.acceleration.structure,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:739: return Derived<ResultTags...>(__metal_get_primitive_acceleration_structure_instance_acceleration_s
__metal_get_primitive_data_intersection_result,method,1,air.get.primitive.data.intersection.result,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:2409: return __metal_get_primitive_data_intersection_result(
__metal_get_primitive_id_intersection_result,method,1,air.get.primitive.id.intersection.result,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:2403: return __metal_get_primitive_id_intersection_result(
__metal_get_ray_direction_intersection_result,method,1,air.get.ray.direction.intersection.result,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:2421: return __metal_get_ray_direction_intersection_result(
__metal_get_ray_min_distance_intersection_query,method,1,air.get.ray.min.distance.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4444: return __metal_get_ray_min_distance_intersection_query(
__metal_get_ray_min_distance_intersection_result,method,1,air.get.ray.min.distance.intersection.result,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:2427: return __metal_get_ray_min_distance_intersection_result(
__metal_get_ray_origin_intersection_result,method,1,air.get.ray.origin.intersection.result,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:2415: return __metal_get_ray_origin_intersection_result(
__metal_get_read_sampler,method,372,air.get.read.sampler,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_depth2d:1360: return __metal_read_depth_2d_t(derived.t, __metal_get_read_sampler(), coord, ushort2(0), lod,"
__metal_get_resource_id_instance_acceleration_structure,method,1,air.get.resource.id.instance.acceleration.structure,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:693: return {__metal_get_resource_id_instance_acceleration_structure(as)};
__metal_get_resource_id_primitive_acceleration_structure,method,1,air.get.resource.id.primitive.acceleration.structure,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:672: return {__metal_get_resource_id_primitive_acceleration_structure(as)};
__metal_get_sample_position,method,1,air.get.sample.position,inferred,🧪命名規則からの推測 (probe必須),"metal_graphics:177: return __metal_get_sample_position(indx, 0);"
__metal_get_sampler,method,1,air.get.sampler,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture_common:846: return __metal_get_sampler(s.s_address_v, s.t_address_v, s.r_address_v,"
__metal_get_simdgroup_size,method,4,air.get.simdgroup.size,inferred,🧪命名規則からの推測 (probe必須),"metal_simdgroup:222: return __metal_simd_shuffle_and_fill_down(data, filling_data, delta, __metal_get_simdgroup_size(ush"
__metal_get_size_command_buffer,method,6,air.get.size.command.buffer,inferred,🧪命名規則からの推測 (probe必須),metal_command_buffer:173: return __metal_get_size_command_buffer(t);
__metal_get_size_intersection_function_table,method,6,air.get.size.intersection.function.table,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:1610: return __metal_get_size_intersection_function_table(t);
__metal_get_size_visible_function_table,method,6,air.get.size.visible.function.table,inferred,🧪命名規則からの推測 (probe必須),metal_visible_function_table:413: return __metal_get_size_visible_function_table(t);
__metal_get_stride_tensor,method,4,air.get.stride.tensor,inferred,🧪命名規則からの推測 (probe必須),"metal_tensor:597: return __metal_get_stride_tensor(static_cast<const thread  tensor_type *>(this)->handle(),"
__metal_get_tensor_handle,method,1,air.get.tensor.handle,inferred,🧪命名規則からの推測 (probe必須),metal_tensor:2171: return __metal_get_tensor_handle(this);
__metal_get_triangle_barycentric_coord_intersection_result,method,1,air.get.triangle.barycentric.coord.intersection.result,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:2309: return __metal_get_triangle_barycentric_coord_intersection_result(
__metal_get_type_intersection_result,method,2,air.get.type.intersection.result,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:2279: return static_cast<intersection_type>(__metal_get_type_intersection_result(_build_intersection_fl
__metal_get_user_instance_id_intersection_result,method,2,air.get.user.instance.id.intersection.result,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:2249: return __metal_get_user_instance_id_intersection_result(
__metal_get_vertex_value,method,1,air.get.vertex.value,inferred,🧪命名規則からの推測 (probe必須),"metal_vertex_value:26: return __metal_get_vertex_value(impl, int(i), T());"
__metal_get_visible_function_table_intersection_function_table,method,6,air.get.visible.function.table.intersection.function.table,inferred,🧪命名規則からの推測 (probe必須),"metal_raytracing:1656: __metal_get_visible_function_table_intersection_function_table(t, index)"
__metal_get_width_depth_2d_array_t,method,6,air.get.width.depth.2d.array.t,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_depth2d_array:1797: return __metal_get_width_depth_2d_array_t(derived.t, lod);"
__metal_get_width_depth_2d_ms_array_t,method,6,air.get.width.depth.2d.ms.array.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depth2d_ms_array:261: return __metal_get_width_depth_2d_ms_array_t(derived.t);
__metal_get_width_depth_2d_ms_t,method,6,air.get.width.depth.2d.ms.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depth2d_ms:260: return __metal_get_width_depth_2d_ms_t(derived.t);
__metal_get_width_depth_2d_t,method,6,air.get.width.depth.2d.t,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_depth2d:1797: return __metal_get_width_depth_2d_t(derived.t, lod);"
__metal_get_width_depth_cube_array_t,method,6,air.get.width.depth.cube.array.t,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_depthcube_array:1786: return __metal_get_width_depth_cube_array_t(derived.t, lod);"
__metal_get_width_depth_cube_t,method,6,air.get.width.depth.cube.t,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_depthcube:1799: return __metal_get_width_depth_cube_t(derived.t, lod);"
__metal_get_width_texture_1d_array_t,method,6,air.get_width_texture_1d_array,observed_ir,✅AIR実シグネチャをIR解析で確認,"__bits/metal_texture1d_array:1564: return __metal_get_width_texture_1d_array_t(derived.t, lod);"
__metal_get_width_texture_1d_t,method,6,air.get_width_texture_1d,observed_ir,✅AIR実シグネチャをIR解析で確認,"__bits/metal_texture1d:1562: return __metal_get_width_texture_1d_t(derived.t, lod);"
__metal_get_width_texture_2d_array_t,method,6,air.get_width_texture_2d_array,observed_ir,✅AIR実シグネチャをIR解析で確認,"__bits/metal_texture2d_array:2221: return __metal_get_width_texture_2d_array_t(derived.t, lod);"
__metal_get_width_texture_2d_ms_array_t,method,6,air.get_width_texture_2d_ms_array,observed_ir,✅AIR実シグネチャをIR解析で確認,__bits/metal_texture2d_ms_array:268: return __metal_get_width_texture_2d_ms_array_t(derived.t);
__metal_get_width_texture_2d_ms_t,method,6,air.get_width_texture_2d_ms,observed_ir,✅AIR実シグネチャをIR解析で確認,__bits/metal_texture2d_ms:267: return __metal_get_width_texture_2d_ms_t(derived.t);
__metal_get_width_texture_2d_t,method,6,air.get_width_texture_2d,observed_ir,✅AIR実シグネチャをIR解析で確認,"__bits/metal_texture2d:2231: return __metal_get_width_texture_2d_t(derived.t, lod);"
__metal_get_width_texture_3d_t,method,6,air.get_width_texture_3d,observed_ir,✅AIR実シグネチャをIR解析で確認,"__bits/metal_texture3d:2117: return __metal_get_width_texture_3d_t(derived.t, lod);"
__metal_get_width_texture_buffer_1d_t,method,6,air.get_width_texture_buffer_1d,observed_ir,✅AIR実シグネチャをIR解析で確認,__bits/metal_texture_buffer:1227: return __metal_get_width_texture_buffer_1d_t(derived.t);
__metal_get_width_texture_cube_array_t,method,6,air.get_width_texture_cube_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube_array:2240: return __metal_get_width_texture_cube_array_t(derived.t, lod);"
__metal_get_width_texture_cube_t,method,6,air.get_width_texture_cube,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube:2250: return __metal_get_width_texture_cube_t(derived.t, lod);"
__metal_get_world_space_ray_direction_intersection_query,method,1,air.get.world.space.ray.direction.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4438: return __metal_get_world_space_ray_direction_intersection_query(
__metal_get_world_space_ray_origin_intersection_query,method,1,air.get.world.space.ray.origin.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4432: return __metal_get_world_space_ray_origin_intersection_query(
__metal_get_world_to_object_transform_intersection_result,method,1,air.get.world.to.object.transform.intersection.result,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:2352: __metal_get_world_to_object_transform_intersection_result(
__metal_hadd,free+method,48,air.hadd.s.i8,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_integer:45: return __metal_hadd(x, y);"
__metal_ilogb,free+method,30,air.ilogb,inferred,🧪命名規則からの推測 (probe必須),"metal_math:161: return __metal_ilogb(x, __METAL_FAST_MATH__);"
